distribution_row_id,as_of,time_classification,public_burden_id,public_burden_name,component_id,version_id,component_name,subject_conditions,calculation_basis_id,calculation_basis,liable_party_id,liable_party,payment_obligors,value_kind,numeric_value,unit,acquisition_type,source_fact_id,calculation_set_id,application_start,application_end,law_evidence,cabinet_order_evidence,ministerial_ordinance_evidence,enforcement_regulation_evidence,ordinance_evidence,local_government_rule_evidence,notice_evidence,other_evidence,master_verified_at
consumption-tax-reduced-rate-2019-version-taxable-transaction-consideration-consumer,2026-08-18,current,consumption-tax,消費税,consumption-tax-reduced-rate-2019,consumption-tax-reduced-rate-2019-version,軽減税率対象品目,酒類・外食を除く飲食料品と、定期購読契約に基づき週2回以上発行される新聞の譲渡,taxable-transaction-consideration,課税資産の譲渡等の対価の額等,consumer,消費者,課税資産の譲渡等を行う事業者等,rate,6.24,percent,direct,consumption-tax-reduced-rate-2019-fact,,2019-10-01,,"消費税法
https://laws.e-gov.go.jp/api/2/law_data/363AC0000000108",,,,,,,"消費税法等 消法29等
https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6101.htm",2026-08-19T07:31:40+09:00
consumption-tax-standard-rate-2019-version-taxable-transaction-consideration-consumer,2026-08-18,current,consumption-tax,消費税,consumption-tax-standard-rate-2019,consumption-tax-standard-rate-2019-version,標準税率対象取引,軽減税率の対象以外の課税資産の譲渡等,taxable-transaction-consideration,課税資産の譲渡等の対価の額等,consumer,消費者,課税資産の譲渡等を行う事業者等,rate,7.8,percent,direct,consumption-tax-standard-rate-2019-fact,,2019-10-01,,"消費税法
https://laws.e-gov.go.jp/api/2/law_data/363AC0000000108",,,,,,,"消費税法等 消法29等
https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6101.htm",2026-08-19T07:31:40+09:00
